Date,Open,High,Low,Close,Volume,Adj_Volume,Adj_Volume,next
1980/12/12,28.75,28.87,28.75,28.75,2093900,117258400,27.25,27.25
1980/12/15,27.38,27.38,27.25,27.25,785200,43971200,25.25,25.25
1980/12/16,25.37,25.37,25.25,25.25,472000,26432000,25.87,25.87
1980/12/17,25.87,26,25.87,25.87,385900,21610400,26.63,26.63
1980/12/18,26.63,26.75,26.63,26.63,327900,18362400,28.25,28.25
1980/12/19,28.25,28.38,28.25,28.25,217100,12157600,29.63,29.63
1980/12/22,29.63,29.75,29.63,29.63,166800,9340800,30.88,30.88
1980/12/23,30.88,31,30.88,30.88,209600,11737600,32.5,32.5
1980/12/24,32.5,32.63,32.5,32.5,214300,12000800,35.5,35.5
1980/12/26,35.5,35.62,35.5,35.5,248100,13893600,36,36
1980/12/29,36,36.13,36,36,415900,23290400,35.12,35.12
1980/12/30,35.25,35.25,35.12,35.12,307500,17220000,34.13,34.13
1980/12/31,34.25,34.25,34.13,34.13,159600,8937600,34.5,34.5
1981/1/2,34.5,34.75,34.5,34.5,96700,5415200,33.75,33.75
1981/1/5,33.87,33.87,33.75,33.75,159500,8932000,32.25,32.25
1981/1/6,32.37,32.37,32.25,32.25,201600,11289600,30.88,30.88
1981/1/7,31,31,30.88,30.88,248600,13921600,30.25,30.25
1981/1/8,30.37,30.37,30.25,30.25,177800,9956800,31.88,31.88
1981/1/9,31.88,32,31.88,31.88,96000,5376000,31.62,31.62
1981/1/12,31.88,31.88,31.62,31.62,105800,5924800,30.5,30.5
1981/1/13,30.63,30.63,30.5,30.5,102900,5762400,30.63,30.63
1981/1/14,30.63,30.75,30.63,30.63,63800,3572800,31.25,31.25
1981/1/15,31.25,31.5,31.25,31.25,62800,3516800,31,31
1981/1/16,31.12,31.12,31,31,59800,3348800,32.87,32.87
1981/1/19,32.87,33,32.87,32.87,185600,10393600,31.88,31.88
1981/1/20,32,32,31.88,31.88,134300,7520800,32.5,32.5
1981/1/21,32.5,32.75,32.5,32.5,71000,3976000,32.87,32.87
1981/1/22,32.87,33.13,32.87,32.87,158700,8887200,32.75,32.75
1981/1/23,32.87,33,32.75,32.75,50100,2805600,32.25,32.25
1981/1/26,32.37,32.37,32.25,32.25,110000,6160000,32,32
1981/1/27,32.25,32.25,32,32,105800,5924800,31,31
1981/1/28,31.12,31.12,31,31,125700,7039200,29.87,29.87
1981/1/29,30,30,29.87,29.87,196000,10976000,28.25,28.25
1981/1/30,28.5,28.5,28.25,28.25,206200,11547200,26.63,26.63
1981/2/2,26.75,26.75,26.63,26.63,106100,5941600,27.62,27.62
