Date,Open,High,Low,Close,Volume,Adj_Close,Adj_Volume
1980/3/17,62.5,63.5,62.5,62.5,56900,0.210879152,62
1980/3/18,62.5,63,62,62,88900,0.209192119,63.5
1980/3/19,63.5,64.5,63.5,63.5,96400,0.214253219,63.25
1980/3/20,63.5,64.25,63.25,63.25,58200,0.213409702,61
1980/3/21,62,62,61,61,63400,0.205818053,59.75
1980/3/24,60.75,60.75,59.75,59.75,46700,0.20160047,60
1980/3/25,60,61,60,60,59100,0.202443986,59.5
1980/3/26,60,60.5,59.5,59.5,84700,0.200756953,57.5
1980/3/27,58.5,58.5,57.5,57.5,140200,0.19400882,59.75
1980/3/28,59.75,60.75,59.75,59.75,104700,0.20160047,61.75
1980/3/31,61.75,62.75,61.75,61.75,46900,0.208348602,62
1980/4/1,62,63,62,62,42600,0.209192119,62.5
1980/4/2,62.5,63.5,62.5,62.5,65400,0.210879152,61.25
1980/4/3,62.25,62.25,61.25,61.25,36400,0.206661569,59.75
1980/4/7,60.75,60.75,59.75,59.75,70200,0.20160047,60
1980/4/8,60,61,60,60,152000,0.202443986,58.75
1980/4/9,59.75,59.75,58.75,58.75,60200,0.198226403,58.5
1980/4/10,58.75,59.5,58.5,58.5,77000,0.197382886,58.5
1980/4/11,58.5,59.5,58.5,58.5,49600,0.197382886,59
1980/4/14,59,60,59,59,41800,0.19906992,58.25
1980/4/15,59,59.25,58.25,58.25,55200,0.19653937,56
1980/4/16,57,57,56,56,56000,0.18894772,55
1980/4/17,56,56,55,55,92200,0.185573654,55.75
1980/4/18,55.75,56.75,55.75,55.75,97600,0.188104204,55.25
1980/4/21,55.75,56.25,55.25,55.25,47100,0.186417171,57.75
1980/4/22,57.75,58.75,57.75,57.75,106400,0.194852337,61.25
1980/4/23,61.25,62.25,61.25,61.25,77200,0.206661569,61.5
1980/4/24,61.5,62.5,61.5,61.5,46000,0.207505086,60.5
1980/4/25,61.5,61.5,60.5,60.5,37000,0.204131019,60
1980/4/28,60.5,61,60,60,36100,0.202443986,60.5
1980/4/29,60.5,61.5,60.5,60.5,32800,0.204131019,61.25
1980/4/30,61.25,62.25,61.25,61.25,36800,0.206661569,61.5
1980/5/1,61.5,62.5,61.5,61.5,36500,0.207505086,62.5
1980/5/2,62.5,63.5,62.5,62.5,28700,0.210879152,63.25
1980/5/5,63.25,64.25,63.25,63.25,18300,0.213409702,63
1980/5/6,63.25,64,63,63,36400,0.212566185,63
1980/5/7,63,64,63,63,33300,0.212566185,62.25
1980/5/8,63,63.25,62.25,62.25,38900,0.210035636,63
1980/5/9,63,64,63,63,86900,0.212566185,62.75
1980/5/12,63,63.75,62.75,62.75,44700,0.211722669,64
1980/5/13,64,65,64,64,38400,0.215940252,65
1980/5/14,65,66,65,65,24700,0.219314318,65.5
1980/5/15,65.5,66.5,65.5,65.5,42200,0.221001352,66.25
1980/5/16,66.25,67.25,66.25,66.25,25200,0.223531901,66.5
1980/5/19,66.5,67.5,66.5,66.5,45000,0.224375418,65.75
1980/5/20,66.5,66.75,65.75,65.75,113600,0.221844868,64.25
1980/5/21,65.25,65.25,64.25,64.25,54900,0.216783768,63.5
1980/5/22,64.25,64.5,63.5,63.5,27700,0.214253219,65.75
1980/5/23,65.75,66.75,65.75,65.75,155100,0.221844868,65.5
1980/5/27,65.75,66.5,65.5,65.5,43400,0.221001352,67
1980/5/28,67,68,67,67,34900,0.226062451,67
1980/5/29,67,68,67,67,39900,0.226062451,68
